SUBURB,Mean BATHROOMS,Mean BEDROOMS,Mean GARAGE,Mean LAND_AREA,Mean BUILD_YEAR,Mean CBD_DIST,Mean STATION DISTANCE,Mean SELL DATE,Unnamed: 0,geometry,Latitude,Longitude
ALEXANDER HEIGHTS,1.8515625,3.7890625,2.140625,627.703125,1991.8515625,13968.75,7085.9375,2017,1201.0,"((115.85460474 -31.83589904, 115.85452563 -31.83457701, 115.85395161 -31.83305216, 115.85257589 -31.83062903, 115.8522786 -31.82923262, 115.85257706 -31.82796858, 115.85398171 -31.82559144, 115.85432615 -31.82416198, 115.85435984 -31.82095804, 115.86086115 -31.82096783, 115.86723536 -31.82111098, 115.87282489 -31.82098236, 115.87723677 -31.82102561, 115.87702692 -31.82397442, 115.8770081 -31.83503655, 115.87468594 -31.83461135, 115.86798987 -31.83255712, 115.86579022 -31.83224146, 115.86362987 -31.83256901, 115.86248089 -31.83305586, 115.85833614 -31.83542496, 115.85631908 -31.83588147, 115.85460474 -31.83589904))","-31.83589904, -31.83457701, -31.83305216, -31.83062903, -31.82923262, -31.82796858, -31.82559144, -31.82416198, -31.82095804, -31.82096783, -31.82111098, -31.82098236, -31.82102561, -31.82397442, -31.83503655, -31.83461135, -31.83255712, -31.83224146, -31.83256901, -31.83305586, -31.83542496, -31.83588147, -31.83589904","115.85460474, 115.85452563, 115.85395161, 115.85257589, 115.8522786, 115.85257706, 115.85398171, 115.85432615, 115.85435984, 115.86086115, 115.86723536, 115.87282489, 115.87723677, 115.87702692, 115.8770081, 115.87468594, 115.86798987, 115.86579022, 115.86362987, 115.86248089, 115.85833614, 115.85631908, 115.85460474"
ALFRED COVE,1.7916666666666667,3.5083333333333333,1.9833333333333332,616.7416666666667,1989.6416666666669,9787.958333333334,3881.133333333333,2016,982.0,"((115.82038508 -32.02623038, 115.82148301 -32.02803318, 115.82135243 -32.02963219, 115.82429639 -32.02874635, 115.82429136 -32.03351838, 115.82277399 -32.0335296, 115.82280465 -32.03626724, 115.82226526 -32.03667329, 115.81378311 -32.03681772, 115.81334398 -32.03660387, 115.81055658 -32.03706359, 115.80862103 -32.03708081, 115.8085839 -32.03209808, 115.8107625 -32.03194919, 115.81555654 -32.03090324, 115.81556928 -32.02879924, 115.8170296 -32.02841789, 115.81827376 -32.02722979, 115.82038508 -32.02623038))","-32.02623038, -32.02803318, -32.02963219, -32.02874635, -32.03351838, -32.0335296, -32.03626724, -32.03667329, -32.03681772, -32.03660387, -32.03706359, -32.03708081, -32.03209808, -32.03194919, -32.03090324, -32.02879924, -32.02841789, -32.02722979, -32.02623038","115.82038508, 115.82148301, 115.82135243, 115.82429639, 115.82429136, 115.82277399, 115.82280465, 115.82226526, 115.81378311, 115.81334398, 115.81055658, 115.80862103, 115.8085839, 115.8107625, 115.81555654, 115.81556928, 115.8170296, 115.81827376, 115.82038508"
ALKIMOS,1.973684210526316,3.631578947368421,1.8771929824561404,9031.622807017544,2009.929824561404,40705.26315789474,2512.4561403508774,2019,1164.0,"((115.70187484 -31.59941929, 115.7087122 -31.61744484, 115.70871154 -31.62394139, 115.70847777 -31.62420005, 115.70871154 -31.62448572, 115.70871178 -31.63123848, 115.70852275 -31.63123864, 115.68969277 -31.63125344, 115.68980626 -31.63087216, 115.68035097 -31.63087952, 115.6793 -31.62998186, 115.67825084 -31.63088107, 115.67385629 -31.63088419, 115.67391904 -31.63124947, 115.66834321 -31.6312476, 115.66494806 -31.62482833, 115.66264751 -31.62125833, 115.6630075 -31.61951806, 115.66304751 -31.61690861, 115.66278778 -31.61593833, 115.66095723 -31.61260889, 115.65973751 -31.61095861, 115.65724721 -31.60922888, 115.6561075 -31.60787889, 115.6553075 -31.60546833, 115.65429694 -31.60377889, 115.65239722 -31.60216889, 115.65130919 -31.5992862, 115.65461767 -31.59929515, 115.65579367 -31.59896034, 115.67921748 -31.59902508, 115.67921624 -31.59936327, 115.70187484 -31.59941929))","-31.59941929, -31.61744484, -31.62394139, -31.62420005, -31.62448572, -31.63123848, -31.63123864, -31.63125344, -31.63087216, -31.63087952, -31.62998186, -31.63088107, -31.63088419, -31.63124947, -31.6312476, -31.62482833, -31.62125833, -31.61951806, -31.61690861, -31.61593833, -31.61260889, -31.61095861, -31.60922888, -31.60787889, -31.60546833, -31.60377889, -31.60216889, -31.5992862, -31.59929515, -31.59896034, -31.59902508, -31.59936327, -31.59941929","115.70187484, 115.7087122, 115.70871154, 115.70847777, 115.70871154, 115.70871178, 115.70852275, 115.68969277, 115.68980626, 115.68035097, 115.6793, 115.67825084, 115.67385629, 115.67391904, 115.66834321, 115.66494806, 115.66264751, 115.6630075, 115.66304751, 115.66278778, 115.66095723, 115.65973751, 115.65724721, 115.6561075, 115.6553075, 115.65429694, 115.65239722, 115.65130919, 115.65461767, 115.65579367, 115.67921748, 115.67921624, 115.70187484"
ANKETELL,2.1052631578947367,4.157894736842105,2.736842105263158,21029.36842105263,1997.2631578947369,29368.42105263158,4005.2631578947367,2011,745.0,"((115.88428158 -32.22272125, 115.87718444 -32.22380627, 115.87420107 -32.22503327, 115.87044439 -32.22768816, 115.8660627 -32.22943036, 115.86436059 -32.22988315, 115.85592731 -32.22967851, 115.85416063 -32.22983542, 115.85010553 -32.23116417, 115.84861019 -32.22156173, 115.84841961 -32.21735423, 115.84905 -32.21380647, 115.85032563 -32.210039, 115.85694927 -32.2110446, 115.86406975 -32.20780769, 115.86484103 -32.2082775, 115.86731586 -32.20827884, 115.86926484 -32.20887254, 115.88418282 -32.20879522, 115.88428158 -32.22272125))","-32.22272125, -32.22380627, -32.22503327, -32.22768816, -32.22943036, -32.22988315, -32.22967851, -32.22983542, -32.23116417, -32.22156173, -32.21735423, -32.21380647, -32.210039, -32.2110446, -32.20780769, -32.2082775, -32.20827884, -32.20887254, -32.20879522, -32.22272125","115.88428158, 115.87718444, 115.87420107, 115.87044439, 115.8660627, 115.86436059, 115.85592731, 115.85416063, 115.85010553, 115.84861019, 115.84841961, 115.84905, 115.85032563, 115.85694927, 115.86406975, 115.86484103, 115.86731586, 115.86926484, 115.88418282, 115.88428158"
APPLECROSS,2.3037974683544302,3.784810126582279,2.354430379746836,777.0126582278481,1988.6708860759493,7141.772151898735,1811.6708860759493,2018,412.0,"((115.82429639 -32.02874635, 115.82135243 -32.02963219, 115.82148301 -32.02803318, 115.82038508 -32.02623038, 115.82183311 -32.02579163, 115.82486205 -32.02399563, 115.82669698 -32.02169649, 115.82833407 -32.01828092, 115.82919159 -32.01423929, 115.82952033 -32.00932036, 115.82899891 -32.00636741, 115.83120361 -32.00624944, 115.83259914 -32.00539693, 115.835465 -32.00665417, 115.83804306 -32.00623306, 115.84034418 -32.00488, 115.84155667 -32.00257389, 115.84343945 -32.00234751, 115.84433875 -32.00156402, 115.84529778 -32.0022111, 115.84668439 -32.00237113, 115.84573611 -32.00375639, 115.84738523 -32.00525653, 115.84773298 -32.0078149, 115.84928806 -32.00955601, 115.85188805 -32.00989889, 115.85271866 -32.01114422, 115.85082569 -32.01182337, 115.84684394 -32.01386784, 115.8464165 -32.0146932, 115.83979842 -32.01783257, 115.83382345 -32.02093112, 115.82916143 -32.02548192, 115.82860499 -32.02510876, 115.82429639 -32.02874635))","-32.02874635, -32.02963219, -32.02803318, -32.02623038, -32.02579163, -32.02399563, -32.02169649, -32.01828092, -32.01423929, -32.00932036, -32.00636741, -32.00624944, -32.00539693, -32.00665417, -32.00623306, -32.00488, -32.00257389, -32.00234751, -32.00156402, -32.0022111, -32.00237113, -32.00375639, -32.00525653, -32.0078149, -32.00955601, -32.00989889, -32.01114422, -32.01182337, -32.01386784, -32.0146932, -32.01783257, -32.02093112, -32.02548192, -32.02510876, -32.02874635","115.82429639, 115.82135243, 115.82148301, 115.82038508, 115.82183311, 115.82486205, 115.82669698, 115.82833407, 115.82919159, 115.82952033, 115.82899891, 115.83120361, 115.83259914, 115.835465, 115.83804306, 115.84034418, 115.84155667, 115.84343945, 115.84433875, 115.84529778, 115.84668439, 115.84573611, 115.84738523, 115.84773298, 115.84928806, 115.85188805, 115.85271866, 115.85082569, 115.84684394, 115.8464165, 115.83979842, 115.83382345, 115.82916143, 115.82860499, 115.82429639"
ARDROSS,2.066115702479338,3.727272727272727,2.008264462809917,542.9090909090909,1991.429752066116,8528.099173553719,2404.1322314049585,2017,411.0,"((115.82429639 -32.02874635, 115.82860499 -32.02510876, 115.82916143 -32.02548192, 115.83382345 -32.02093112, 115.83979842 -32.01783257, 115.84414963 -32.02360961, 115.84428743 -32.03286733, 115.8383329 -32.03291262, 115.83347961 -32.03184478, 115.83094405 -32.031866, 115.83096048 -32.0334689, 115.82429136 -32.03351838, 115.82429639 -32.02874635))","-32.02874635, -32.02510876, -32.02548192, -32.02093112, -32.01783257, -32.02360961, -32.03286733, -32.03291262, -32.03184478, -32.031866, -32.0334689, -32.03351838, -32.02874635","115.82429639, 115.82860499, 115.82916143, 115.83382345, 115.83979842, 115.84414963, 115.84428743, 115.8383329, 115.83347961, 115.83094405, 115.83096048, 115.82429136, 115.82429639"
ARMADALE,1.1746031746031746,3.2222222222222223,1.5714285714285714,838.2222222222222,1981.15873015873,25782.53968253968,1082.4444444444443,2019,196.0,"((116.01803306 -32.13198494, 116.01735368 -32.14074709, 116.01730581 -32.14231713, 116.01843445 -32.14497267, 116.02116125 -32.14927137, 116.02267573 -32.14798703, 116.02327316 -32.14919281, 116.02487855 -32.14898065, 116.02456476 -32.14968572, 116.02656176 -32.14981479, 116.02602445 -32.15086201, 116.02240247 -32.15114949, 116.02138721 -32.15039383, 116.01856576 -32.15305271, 116.01783981 -32.15719965, 116.01702215 -32.16283982, 116.01545473 -32.16844866, 116.0151316 -32.17188714, 116.00866657 -32.17770036, 116.00873777 -32.17270969, 116.01007554 -32.16659048, 116.00828492 -32.16634882, 116.00727306 -32.16658228, 116.00597985 -32.1675614, 116.00522737 -32.16679545, 116.00475423 -32.1649279, 116.00344799 -32.16429276, 115.99785024 -32.15951034, 115.99676299 -32.15858392, 115.98397076 -32.14766688, 115.983924 -32.14712707, 115.99086944 -32.14707087, 115.99085958 -32.14621945, 116.0054669 -32.1337651, 116.00606713 -32.13338408, 116.00850403 -32.13546455, 116.01004311 -32.13509449, 116.0104272 -32.13299671, 116.01125952 -32.13198888, 116.01278916 -32.13198933, 116.01273464 -32.13307705, 116.01600696 -32.13307719, 116.01606164 -32.13198747, 116.01803306 -32.13198494))","-32.13198494, -32.14074709, -32.14231713, -32.14497267, -32.14927137, -32.14798703, -32.14919281, -32.14898065, -32.14968572, -32.14981479, -32.15086201, -32.15114949, -32.15039383, -32.15305271, -32.15719965, -32.16283982, -32.16844866, -32.17188714, -32.17770036, -32.17270969, -32.16659048, -32.16634882, -32.16658228, -32.1675614, -32.16679545, -32.1649279, -32.16429276, -32.15951034, -32.15858392, -32.14766688, -32.14712707, -32.14707087, -32.14621945, -32.1337651, -32.13338408, -32.13546455, -32.13509449, -32.13299671, -32.13198888, -32.13198933, -32.13307705, -32.13307719, -32.13198747, -32.13198494","116.01803306, 116.01735368, 116.01730581, 116.01843445, 116.02116125, 116.02267573, 116.02327316, 116.02487855, 116.02456476, 116.02656176, 116.02602445, 116.02240247, 116.02138721, 116.01856576, 116.01783981, 116.01702215, 116.01545473, 116.0151316, 116.00866657, 116.00873777, 116.01007554, 116.00828492, 116.00727306, 116.00597985, 116.00522737, 116.00475423, 116.00344799, 115.99785024, 115.99676299, 115.98397076, 115.983924, 115.99086944, 115.99085958, 116.0054669, 116.00606713, 116.00850403, 116.01004311, 116.0104272, 116.01125952, 116.01278916, 116.01273464, 116.01600696, 116.01606164, 116.01803306"
ASCOT,2.0,3.566666666666667,2.091666666666667,687.2583333333333,1994.7416666666663,6890.0,2303.333333333333,2016,1714.0,"((115.9538323 -31.9204093, 115.95600968 -31.92226788, 115.95348438 -31.92444196, 115.94988797 -31.92724061, 115.94645861 -31.92890007, 115.94201874 -31.93200168, 115.93334083 -31.93723358, 115.92195033 -31.9440988, 115.91941135 -31.946528, 115.91896236 -31.9484358, 115.91819436 -31.9482767, 115.91795187 -31.94671159, 115.91861004 -31.94493703, 115.91721712 -31.94415074, 115.91600408 -31.94483186, 115.9152165 -31.94459915, 115.91326243 -31.94248501, 115.91093492 -31.94104919, 115.90965582 -31.94077833, 115.90887193 -31.93966833, 115.90892 -31.93828027, 115.91082722 -31.9362175, 115.91241158 -31.93558329, 115.91317837 -31.93448519, 115.9155886 -31.93345972, 115.91810503 -31.93284479, 115.92118394 -31.93252411, 115.92872034 -31.93231907, 115.93601797 -31.93121307, 115.93728812 -31.93055027, 115.93944984 -31.92879522, 115.93981694 -31.92706667, 115.94027028 -31.92242584, 115.94071083 -31.92091028, 115.94203222 -31.92057417, 115.94708496 -31.92295919, 115.94971051 -31.92343854, 115.95136613 -31.92323941, 115.9538323 -31.9204093))","-31.9204093, -31.92226788, -31.92444196, -31.92724061, -31.92890007, -31.93200168, -31.93723358, -31.9440988, -31.946528, -31.9484358, -31.9482767, -31.94671159, -31.94493703, -31.94415074, -31.94483186, -31.94459915, -31.94248501, -31.94104919, -31.94077833, -31.93966833, -31.93828027, -31.9362175, -31.93558329, -31.93448519, -31.93345972, -31.93284479, -31.93252411, -31.93231907, -31.93121307, -31.93055027, -31.92879522, -31.92706667, -31.92242584, -31.92091028, -31.92057417, -31.92295919, -31.92343854, -31.92323941, -31.9204093","115.9538323, 115.95600968, 115.95348438, 115.94988797, 115.94645861, 115.94201874, 115.93334083, 115.92195033, 115.91941135, 115.91896236, 115.91819436, 115.91795187, 115.91861004, 115.91721712, 115.91600408, 115.9152165, 115.91326243, 115.91093492, 115.90965582, 115.90887193, 115.90892, 115.91082722, 115.91241158, 115.91317837, 115.9155886, 115.91810503, 115.92118394, 115.92872034, 115.93601797, 115.93728812, 115.93944984, 115.93981694, 115.94027028, 115.94071083, 115.94203222, 115.94708496, 115.94971051, 115.95136613, 115.9538323"
ASHBY,1.98876404494382,3.758426966292135,1.9943820224719104,513.3876404494382,2005.6685393258424,24733.76404494382,3236.4157303370785,2015,1576.0,"((115.78850841 -31.72779444, 115.78993734 -31.72779282, 115.79670153 -31.72787321, 115.80548253 -31.72786149, 115.80547441 -31.73108072, 115.80385841 -31.73355807, 115.80223785 -31.73604212, 115.79947559 -31.73901821, 115.796393 -31.7406514, 115.7927399 -31.73486847, 115.78850841 -31.72779444))","-31.72779444, -31.72779282, -31.72787321, -31.72786149, -31.73108072, -31.73355807, -31.73604212, -31.73901821, -31.7406514, -31.73486847, -31.72779444","115.78850841, 115.78993734, 115.79670153, 115.80548253, 115.80547441, 115.80385841, 115.80223785, 115.79947559, 115.796393, 115.7927399, 115.78850841"
ASHFIELD,1.5670731707317074,3.347560975609756,1.8170731707317076,646.1158536585366,1984.3475609756097,8398.780487804877,600.0914634146342,2012,1401.0,"((115.93205628 -31.91613904, 115.93784598 -31.91128936, 115.9430645 -31.91582048, 115.9431287 -31.91670245, 115.94181216 -31.91782836, 115.94373026 -31.91895587, 115.94271967 -31.91979112, 115.94141227 -31.91977619, 115.93999794 -31.92072425, 115.93875083 -31.92460668, 115.93478402 -31.92123308, 115.93639876 -31.91978811, 115.93205628 -31.91613904))","-31.91613904, -31.91128936, -31.91582048, -31.91670245, -31.91782836, -31.91895587, -31.91979112, -31.91977619, -31.92072425, -31.92460668, -31.92123308, -31.91978811, -31.91613904","115.93205628, 115.93784598, 115.9430645, 115.9431287, 115.94181216, 115.94373026, 115.94271967, 115.94141227, 115.93999794, 115.93875083, 115.93478402, 115.93639876, 115.93205628"
