SUBURB,Mean BATHROOMS,Mean BEDROOMS,Mean GARAGE,Mean LAND_AREA,Mean BUILD_YEAR,Mean CBD_DIST,Mean STATION DISTANCE,Mean SELL DATE
ALEXANDER HEIGHTS,1.8515625,3.7890625,2.140625,627.703125,1991.8515625,13968.75,7085.9375,2017
ALFRED COVE,1.7916666666666667,3.5083333333333333,1.9833333333333334,616.7416666666667,1989.6416666666667,9787.958333333334,3881.133333333333,2016
ALKIMOS,1.9736842105263157,3.6315789473684212,1.8771929824561404,9031.622807017544,2009.9298245614036,40705.26315789474,2512.4561403508774,2019
ANKETELL,2.1052631578947367,4.157894736842105,2.736842105263158,21029.36842105263,1997.2631578947369,29368.42105263158,4005.2631578947367,2011
APPLECROSS,2.3037974683544302,3.7848101265822787,2.3544303797468356,777.0126582278481,1988.6708860759493,7141.772151898735,1811.6708860759493,2018
ARDROSS,2.0661157024793386,3.727272727272727,2.0082644628099175,542.9090909090909,1991.4297520661157,8528.099173553719,2404.1322314049585,2017
ARMADALE,1.1746031746031746,3.2222222222222223,1.5714285714285714,838.2222222222222,1981.1587301587301,25782.539682539682,1082.4444444444443,2019
ASCOT,2.0,3.566666666666667,2.091666666666667,687.2583333333333,1994.7416666666666,6890.0,2303.3333333333335,2016
ASHBY,1.9887640449438202,3.758426966292135,1.9943820224719102,513.3876404494382,2005.6685393258426,24733.76404494382,3236.4157303370785,2015
ASHFIELD,1.5670731707317074,3.347560975609756,1.8170731707317074,646.1158536585366,1984.3475609756097,8398.780487804877,600.0914634146342,2012
ATTADALE,2.1842105263157894,3.754385964912281,1.9649122807017543,775.2719298245614,1983.7456140350878,9911.40350877193,4585.964912280701,2018
ATWELL,1.9692307692307693,3.8,1.958974358974359,594.1589743589743,2000.7794871794872,21368.71794871795,2245.702564102564,2018
AUBIN GROVE,2.037037037037037,3.919753086419753,2.308641975308642,562.3518518518518,2005.5617283950617,24174.69135802469,4954.938271604939,2017
AVELEY,1.9932432432432432,3.77027027027027,2.0945945945945947,20786.864864864863,2006.3986486486488,22337.837837837837,12284.45945945946,2019
BALCATTA,1.647887323943662,3.1971830985915495,1.7605633802816902,723.0704225352113,1989.4788732394366,8836.61971830986,2769.0140845070423,2018
BALDIVIS,2.0,3.8703703703703702,1.8888888888888888,1434.148148148148,2004.9907407407406,43297.22222222222,4758.333333333333,2020
BALGA,1.5344827586206897,3.1551724137931036,1.7241379310344827,518.8103448275862,1989.1896551724137,11086.206896551725,4317.241379310345,2018
BALLAJURA,1.7681159420289856,3.7753623188405796,2.0144927536231885,645.036231884058,1991.4057971014493,12827.536231884058,8490.579710144928,2018
BANJUP,2.1875,4.1875,4.46875,20072.15625,1991.1875,22737.5,4262.5,2016
BANKSIA GROVE,1.9337349397590362,3.6204819277108435,2.0120481927710845,491.17469879518075,2007.210843373494,28821.68674698795,6093.975903614458,2018
BASKERVILLE,2.2,4.1,2.3,52488.6,1990.65,25075.0,11635.0,2007
BASSENDEAN,1.6210526315789473,3.263157894736842,1.7473684210526317,754.8105263157895,1980.7263157894736,9948.421052631578,741.5578947368421,2019
BATEMAN,1.9406779661016949,3.864406779661017,2.0762711864406778,728.4067796610169,1985.8559322033898,11560.169491525423,815.9237288135594,2016
